"Payment_ID","Subscription_ID","Customer_ID","Payment_Date","Payment_Method","Amount"
"PAY000000001","SU00000001","CU000001","2022-01-21","Cash","135.0"
"PAY000000002","SU00000002","CU000001","2023-01-21","Cash","135.0"
"PAY000000003","SU00000003","CU000001","2024-01-22","Cash","180.0"
"PAY000000004","SU00000004","CU000001","2022-03-23","Cash","135.0"
"PAY000000005","SU00000005","CU000001","2023-03-28","Debit Card","135.0"
"PAY000000006","SU00000006","CU000001","2024-03-21","Cash","135.0"
"PAY000000007","SU00000007","CU000002","2022-01-04","PayPal","180.0"
"PAY000000008","SU00000008","CU000002","2023-01-04","Debit Card","180.0"
"PAY000000009","SU00000009","CU000002","2024-01-04","Debit Card","180.0"
"PAY000000010","SU00000010","CU000002","2022-05-15","Debit Card","90.0"
"PAY000000011","SU00000011","CU000002","2023-05-15","Debit Card","90.0"
"PAY000000012","SU00000012","CU000002","2024-05-14","Debit Card","135.0"
"PAY000000013","SU00000013","CU000002","2022-07-27","Debit Card","135.0"
"PAY000000014","SU00000014","CU000002","2023-07-27","Debit Card","135.0"
"PAY000000015","SU00000015","CU000002","2024-07-26","Debit Card","135.0"
"PAY000000016","SU00000016","CU000003","2022-01-15","Bank Transfer","15.0"
"PAY000000017","SU00000017","CU000003","2022-02-12","Credit Card","15.0"
"PAY000000018","SU00000018","CU000003","2022-03-12","Bank Transfer","15.0"
"PAY000000019","SU00000019","CU000003","2022-04-09","Debit Card","135.0"
"PAY000000020","SU00000020","CU000003","2023-04-09","Bank Transfer","135.0"
